center,left,right,steering,throttle,brake,speed
IMG/center_2016_12_01_13_39_28_024.jpg, IMG/left_2016_12_01_13_39_28_024.jpg, IMG/right_2016_12_01_13_39_28_024.jpg,-0.9426954,0.0,0.0,28.11522
IMG/center_2016_12_01_13_39_28_126.jpg, IMG/left_2016_12_01_13_39_28_126.jpg, IMG/right_2016_12_01_13_39_28_126.jpg,-0.9426954,0.0,0.0,27.32152
IMG/center_2016_12_01_13_39_27_924.jpg, IMG/left_2016_12_01_13_39_27_924.jpg, IMG/right_2016_12_01_13_39_27_924.jpg,-0.9332381,0.0,0.0,28.968390000000003
IMG/center_2016_12_01_13_38_26_805.jpg, IMG/left_2016_12_01_13_38_26_805.jpg, IMG/right_2016_12_01_13_38_26_805.jpg,-0.9237437,0.6685264,0.0,29.98325
IMG/center_2016_12_01_13_38_26_906.jpg, IMG/left_2016_12_01_13_38_26_906.jpg, IMG/right_2016_12_01_13_38_26_906.jpg,-0.8098114000000001,0.8126372,0.0,30.0545
IMG/center_2016_12_01_13_38_26_704.jpg, IMG/left_2016_12_01_13_38_26_704.jpg, IMG/right_2016_12_01_13_38_26_704.jpg,-0.771834,0.6685264,0.0,30.013859999999998
IMG/center_2016_12_01_13_40_45_369.jpg, IMG/left_2016_12_01_13_40_45_369.jpg, IMG/right_2016_12_01_13_40_45_369.jpg,-0.7243622,0.8798888000000001,0.0,4.511871
IMG/center_2016_12_01_13_34_38_057.jpg, IMG/left_2016_12_01_13_34_38_057.jpg, IMG/right_2016_12_01_13_34_38_057.jpg,-0.6863848000000001,0.9279258,0.0,30.117179999999998
IMG/center_2016_12_01_13_34_38_159.jpg, IMG/left_2016_12_01_13_34_38_159.jpg, IMG/right_2016_12_01_13_34_38_159.jpg,-0.6863848000000001,0.9279258,0.0,30.140990000000002
IMG/center_2016_12_01_13_34_37_957.jpg, IMG/left_2016_12_01_13_34_37_957.jpg, IMG/right_2016_12_01_13_34_37_957.jpg,-0.6294187,0.9855325999999999,0.0,30.11405
IMG/center_2016_12_01_13_40_45_471.jpg, IMG/left_2016_12_01_13_40_45_471.jpg, IMG/right_2016_12_01_13_40_45_471.jpg,-0.6294187,0.9567479,0.0,5.590258
IMG/center_2016_12_01_13_38_09_379.jpg, IMG/left_2016_12_01_13_38_09_379.jpg, IMG/right_2016_12_01_13_38_09_379.jpg,-0.6009356,0.9855325999999999,0.0,30.163159999999998
IMG/center_2016_12_01_13_38_09_480.jpg, IMG/left_2016_12_01_13_38_09_480.jpg, IMG/right_2016_12_01_13_38_09_480.jpg,-0.6009356,0.9855325999999999,0.0,30.17192
IMG/center_2016_12_01_13_45_23_229.jpg, IMG/left_2016_12_01_13_45_23_229.jpg, IMG/right_2016_12_01_13_45_23_229.jpg,-0.5249807,0.9855325999999999,0.0,30.17503
